uzbek_word,russian_gloss,category,r2_key,public_url,content_type,duration_seconds,width,height,fps,codec,orientation,quality_status,signer_sample_note,admin_note
salom,привет,greeting,,,,,,,,,,missing,,
assalomu alaykum,здравствуйте,greeting,,,,,,,,,,missing,,
xayr,пока,greeting,,,,,,,,,,missing,,
hayr,пока,greeting,,,,,,,,,,missing,,
ko'rishguncha,до свидания,greeting,,,,,,,,,,missing,,
xush kelibsiz,добро пожаловать,greeting,,,,,,,,,,missing,,
yaxshi kun,добрый день,greeting,,,,,,,,,,missing,,
xayrli kech,добрый вечер,greeting,,,,,,,,,,missing,,
xayrli tun,спокойной ночи,greeting,,,,,,,,,,missing,,
salomlashish,приветствие,greeting,,,,,,,,,,missing,,
rahmat,спасибо,polite,,,,,,,,,,missing,,
katta rahmat,большое спасибо,polite,,,,,,,,,,missing,,
iltimos,пожалуйста,polite,,,,,,,,,,missing,,
kechirasiz,извините,polite,,,,,,,,,,missing,,
uzr,прости,polite,,,,,,,,,,missing,,
marhamat,пожалуйста,polite,,,,,,,,,,missing,,
albatta,конечно,polite,,,,,,,,,,missing,,
men,я,pronoun,,,,,,,,,,missing,,
sen,ты,pronoun,,,,,,,,,,missing,,
u,он,pronoun,,,,,,,,,,missing,,
biz,мы,pronoun,,,,,,,,,,missing,,
siz,вы,pronoun,,,,,,,,,,missing,,
ular,они,pronoun,,,,,,,,,,missing,,
bu,это,pronoun,,,,,,,,,,missing,,
o'sha,тот,pronoun,,,,,,,,,,missing,,
hamma,все,pronoun,,,,,,,,,,missing,,
o'zi,сам,pronoun,,,,,,,,,,missing,,
nima,что,question,,,,,,,,,,missing,,
kim,кто,question,,,,,,,,,,missing,,
qayerda,где,question,,,,,,,,,,missing,,
qachon,когда,question,,,,,,,,,,missing,,
qanday,как,question,,,,,,,,,,missing,,
necha,сколько,question,,,,,,,,,,missing,,
nega,почему,question,,,,,,,,,,missing,,
qaysi,какой,question,,,,,,,,,,missing,,
qayer,куда,question,,,,,,,,,,missing,,
qancha,сколько,question,,,,,,,,,,missing,,
ona,мама,family,,,,,,,,,,missing,,
ota,папа,family,,,,,,,,,,missing,,
aka,брат,family,,,,,,,,,,missing,,
opa,сестра,family,,,,,,,,,,missing,,
bola,ребёнок,family,,,,,,,,,,missing,,
oila,семья,family,,,,,,,,,,missing,,
buva,дедушка,family,,,,,,,,,,missing,,
buvi,бабушка,family,,,,,,,,,,missing,,
er,муж,family,,,,,,,,,,missing,,
xotin,жена,family,,,,,,,,,,missing,,
o'g'il,сын,family,,,,,,,,,,missing,,
qiz,дочь,family,,,,,,,,,,missing,,
amaki,дядя,family,,,,,,,,,,missing,,
xola,тётя,family,,,,,,,,,,missing,,
jiyan,племянник,family,,,,,,,,,,missing,,
bir,один,number,,,,,,,,,,missing,,
ikki,два,number,,,,,,,,,,missing,,
uch,три,number,,,,,,,,,,missing,,
to'rt,четыре,number,,,,,,,,,,missing,,
besh,пять,number,,,,,,,,,,missing,,
olti,шесть,number,,,,,,,,,,missing,,
yetti,семь,number,,,,,,,,,,missing,,
sakkiz,восемь,number,,,,,,,,,,missing,,
to'qqiz,девять,number,,,,,,,,,,missing,,
o'n,десять,number,,,,,,,,,,missing,,
o'n bir,одиннадцать,number,,,,,,,,,,missing,,
o'n ikki,двенадцать,number,,,,,,,,,,missing,,
o'n uch,тринадцать,number,,,,,,,,,,missing,,
o'n to'rt,четырнадцать,number,,,,,,,,,,missing,,
o'n besh,пятнадцать,number,,,,,,,,,,missing,,
o'n olti,шестнадцать,number,,,,,,,,,,missing,,
o'n yetti,семнадцать,number,,,,,,,,,,missing,,
o'n sakkiz,восемнадцать,number,,,,,,,,,,missing,,
o'n to'qqiz,девятнадцать,number,,,,,,,,,,missing,,
yigirma,двадцать,number,,,,,,,,,,missing,,
qizil,красный,color,,,,,,,,,,missing,,
ko'k,синий,color,,,,,,,,,,missing,,
yashil,зелёный,color,,,,,,,,,,missing,,
sariq,жёлтый,color,,,,,,,,,,missing,,
oq,белый,color,,,,,,,,,,missing,,
qora,чёрный,color,,,,,,,,,,missing,,
pushti,розовый,color,,,,,,,,,,missing,,
jigarrang,коричневый,color,,,,,,,,,,missing,,
to'q sariq,оранжевый,color,,,,,,,,,,missing,,
kulrang,серый,color,,,,,,,,,,missing,,
bormoq,идти,action,,,,,,,,,,missing,,
kelmoq,приходить,action,,,,,,,,,,missing,,
yemoq,есть,action,,,,,,,,,,missing,,
ichmoq,пить,action,,,,,,,,,,missing,,
o'qimoq,читать,action,,,,,,,,,,missing,,
o'rganmoq,учиться,action,,,,,,,,,,missing,,
yozmoq,писать,action,,,,,,,,,,missing,,
gapirmoq,говорить,action,,,,,,,,,,missing,,
tinglamoq,слушать,action,,,,,,,,,,missing,,
ko'rmoq,смотреть,action,,,,,,,,,,missing,,
bilmoq,знать,action,,,,,,,,,,missing,,
xohlamoq,хотеть,action,,,,,,,,,,missing,,
qilmoq,делать,action,,,,,,,,,,missing,,
