uzbek_word,russian_gloss,category,r2_key,attachment_id,source_file,trim_start_seconds,trim_duration_seconds,staged_output,status
salom,привет,greeting,signs/greeting/salom.mp4,f17a6060-6ced-4bd1-9886-8578cfbb864f,,0.0,2.317,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\greeting\salom.mp4,source_missing
xayr,пока,greeting,signs/greeting/xayr.mp4,c1d0a301-e159-4468-afe5-9d2d757ac8f3,,0.117,2.367,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\greeting\xayr.mp4,source_missing
hayr,пока,greeting,signs/greeting/hayr.mp4,c1d0a301-e159-4468-afe5-9d2d757ac8f3,,0.117,2.367,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\greeting\hayr.mp4,source_missing
xush kelibsiz,добро пожаловать,greeting,signs/greeting/xush_kelibsiz.mp4,79e2cc12-2d72-4b12-98d3-13a5112d4ea9,,0.25,3.133,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\greeting\xush_kelibsiz.mp4,source_missing
albatta,конечно,polite,signs/polite/albatta.mp4,ae70cd19-8571-40b6-960a-2a8d12aac144,,0.417,2.567,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\polite\albatta.mp4,source_missing
men,я,pronoun,signs/pronoun/men.mp4,17fdf4e2-951f-46ea-9d65-e511502fa610,,0.283,2.467,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\men.mp4,source_missing
sen,ты,pronoun,signs/pronoun/sen.mp4,82b2225c-58b0-4097-a2dc-9bed952134e9,,0.85,2.067,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\sen.mp4,source_missing
biz,мы,pronoun,signs/pronoun/biz.mp4,9669b908-ffba-49c4-ab46-e3e33b42b534,D:\test\9669b908-ffba-49c4-ab46-e3e33b42b534.mp4,0.283,2.3,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\biz.mp4,extracted
siz,вы,pronoun,signs/pronoun/siz.mp4,eb5c55f9-b5f7-4370-bc5f-3109233cd958,D:\test\eb5c55f9-b5f7-4370-bc5f-3109233cd958.mp4,0.917,2.3,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\siz.mp4,extracted
bu,это,pronoun,signs/pronoun/bu.mp4,cb209974-ec25-4864-bf78-86e8b13f6403,,0.95,2.367,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\bu.mp4,source_missing
o'sha,тот,pronoun,signs/pronoun/osha.mp4,3e955c48-1844-4d82-9447-09c001ccb973,,0.0,2.317,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\osha.mp4,source_missing
hamma,все,pronoun,signs/pronoun/hamma.mp4,713b2b6e-fcb1-4032-87d2-a623c498637f,,0.183,2.5,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\pronoun\hamma.mp4,source_missing
nima,что,question,signs/question/nima.mp4,b3f0b5d4-b3ca-4edd-9cf0-a220918c0fd9,,0.783,2.633,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\question\nima.mp4,source_missing
kim,кто,question,signs/question/kim.mp4,c19a6f53-0add-489a-a441-be141591965b,,0.0,1.983,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\question\kim.mp4,source_missing
qachon,когда,question,signs/question/qachon.mp4,0d88084e-e809-4f71-b53d-d9e48b655623,D:\test\0d88084e-e809-4f71-b53d-d9e48b655623.mp4,0.083,2.133,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\question\qachon.mp4,extracted
necha,сколько,question,signs/question/necha.mp4,89fc8fcf-b23e-4b36-be6a-a96d41b439dd,,0.583,2.533,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\question\necha.mp4,source_missing
nega,почему,question,signs/question/nega.mp4,781b3db4-b726-42b7-b9c9-aaa2972e932e,,0.983,2.433,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\question\nega.mp4,source_missing
qancha,сколько,question,signs/question/qancha.mp4,89fc8fcf-b23e-4b36-be6a-a96d41b439dd,,0.583,2.533,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\question\qancha.mp4,source_missing
aka,брат,family,signs/family/aka.mp4,fed1a5ce-bf89-49cf-9ae8-b1553b694576,,0.0,2.15,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\family\aka.mp4,source_missing
opa,сестра,family,signs/family/opa.mp4,25ee4a86-14bf-4a43-9352-4ddda47a6bea,,0.25,2.1,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\family\opa.mp4,source_missing
bola,ребёнок,family,signs/family/bola.mp4,43568c87-f9b3-4d2b-a3c9-17cb566a0064,,0.717,2.933,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\family\bola.mp4,source_missing
oila,семья,family,signs/family/oila.mp4,703bfdda-0c9a-47a0-b58f-0fdb8fd3d54f,,0.317,2.233,C:\Users\Admin\Desktop\imo-ishora\execution\clips\signs\family\oila.mp4,source_missing
