uzbek_word,russian_gloss,category,r2_key,public_url,content_type,duration_seconds,width,height,fps,codec,orientation,quality_status,signer_sample_note,admin_note
salom,привет,greeting,,,,,,,,,,missing,,
assalomu alaykum,здравствуйте,greeting,,,,,,,,,,missing,,
xayr,пока,greeting,,,,,,,,,,missing,,
hayr,пока,greeting,,,,,,,,,,missing,,
ko'rishguncha,до свидания,greeting,,,,,,,,,,missing,,
xush kelibsiz,добро пожаловать,greeting,,,,,,,,,,missing,,
yaxshi kun,добрый день,greeting,,,,,,,,,,missing,,
xayrli kech,добрый вечер,greeting,,,,,,,,,,missing,,
xayrli tun,спокойной ночи,greeting,,,,,,,,,,missing,,
salomlashish,приветствие,greeting,,,,,,,,,,missing,,
rahmat,спасибо,polite,,,,,,,,,,missing,,
katta rahmat,большое спасибо,polite,,,,,,,,,,missing,,
iltimos,пожалуйста,polite,,,,,,,,,,missing,,
kechirasiz,извините,polite,,,,,,,,,,missing,,
uzr,прости,polite,,,,,,,,,,missing,,
marhamat,пожалуйста,polite,,,,,,,,,,missing,,
albatta,конечно,polite,,,,,,,,,,missing,,
men,я,pronoun,,,,,,,,,,missing,,
sen,ты,pronoun,,,,,,,,,,missing,,
u,он,pronoun,,,,,,,,,,missing,,
biz,мы,pronoun,clips/signs/pronoun/biz.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/pronoun/biz.mp4,video/mp4,2.0,360,640,30,h264,portrait,demo_ready,Slovo 9669b908-ffba-49c4-ab46-e3e33b42b534 (signer 2e900e56),
siz,вы,pronoun,clips/signs/pronoun/siz.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/pronoun/siz.mp4,video/mp4,2.0,360,640,30,h264,portrait,demo_ready,Slovo eb5c55f9-b5f7-4370-bc5f-3109233cd958 (signer 08b8fc47),
ular,они,pronoun,,,,,,,,,,missing,,
bu,это,pronoun,,,,,,,,,,missing,,
o'sha,тот,pronoun,,,,,,,,,,missing,,
hamma,все,pronoun,,,,,,,,,,missing,,
o'zi,сам,pronoun,,,,,,,,,,missing,,
nima,что,question,,,,,,,,,,missing,,
kim,кто,question,,,,,,,,,,missing,,
qayerda,где,question,,,,,,,,,,missing,,
qachon,когда,question,clips/signs/question/qachon.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/question/qachon.mp4,video/mp4,1.83,360,640,30,h264,portrait,demo_ready,Slovo 0d88084e-e809-4f71-b53d-d9e48b655623 (signer 2e900e56),
qanday,как,question,,,,,,,,,,missing,,
necha,сколько,question,,,,,,,,,,missing,,
nega,почему,question,,,,,,,,,,missing,,
qaysi,какой,question,,,,,,,,,,missing,,
qayer,куда,question,,,,,,,,,,missing,,
qancha,сколько,question,,,,,,,,,,missing,,
ona,мама,family,,,,,,,,,,missing,,
ota,папа,family,,,,,,,,,,missing,,
aka,брат,family,,,,,,,,,,missing,,
opa,сестра,family,,,,,,,,,,missing,,
bola,ребёнок,family,,,,,,,,,,missing,,
oila,семья,family,,,,,,,,,,missing,,
buva,дедушка,family,,,,,,,,,,missing,,
buvi,бабушка,family,,,,,,,,,,missing,,
er,муж,family,clips/signs/family/er.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/family/er.mp4,video/mp4,2.33,360,640,30,h264,portrait,demo_ready,Slovo ff06a8d0-fb2b-4942-ac84-357eddc254b8 (signer a2d3f722),
xotin,жена,family,,,,,,,,,,missing,,
o'g'il,сын,family,,,,,,,,,,missing,,
qiz,дочь,family,clips/signs/family/qiz.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/family/qiz.mp4,video/mp4,2.13,360,640,30,h264,portrait,demo_ready,Slovo dc22a3c5-2114-4415-aebe-5af42693fa04 (signer 76aa633f),
amaki,дядя,family,,,,,,,,,,missing,,
xola,тётя,family,,,,,,,,,,missing,,
jiyan,племянник,family,,,,,,,,,,missing,,
bir,один,number,,,,,,,,,,missing,,
ikki,два,number,,,,,,,,,,missing,,
uch,три,number,,,,,,,,,,missing,,
to'rt,четыре,number,clips/signs/number/tort.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/number/tort.mp4,video/mp4,2.13,360,640,30,h264,portrait,demo_ready,Slovo 9c241716-742b-4da1-9980-4dae550da8dc (signer bd0fc003),
besh,пять,number,,,,,,,,,,missing,,
olti,шесть,number,,,,,,,,,,missing,,
yetti,семь,number,clips/signs/number/yetti.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/number/yetti.mp4,video/mp4,2.57,360,640,30,h264,portrait,demo_ready,Slovo 5da18495-7ec0-46af-9305-8b050e11c380 (signer 656ebd01),
sakkiz,восемь,number,,,,,,,,,,missing,,
to'qqiz,девять,number,,,,,,,,,,missing,,
